#group,name,redirector,dataset,nevts,xsec
# - https://escholarship.org/content/qt6t8035nh/qt6t8035nh_noSplash_9539ce4036e8fd27d9af5ec25656c491.pdf?t=py0x2h
#ttbarW,ttW,TTWJetsToLNu,,/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext1-v1/NANOAODSIM,4911941,0.2125,
#
# reference:
# - AN2019_192_v15
#
#ttbar,TT,TTToHadronic,,/TTToHadronic_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,128640000,377.96,
#ttbar,TT,TTToSemiLeptonic,,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,100790000,365.34,
#
# reference:
# - AN2019_031_v9
#
#triboson,WWW,WWW,/WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext1-v1/NANOAODSIM,240000,0.209,
#
# reference:
# - https://github.com/CJLST/ZZAnalysis/blob/Run2_CutBased/AnalysisStep/test/prod/samples_2018_MC.csv
#
#Triboson,WWZ,WWZ,,/WWZ_TuneCP5_13TeV-amcatnlo-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext1-v1/NANOAODSIM,250000,0.1651,
#Triboson,ZZZ,ZZZ,,/ZZZ_TuneCP5_13TeV-amcatnlo-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext1-v1/NANOAODSIM,250000,0.01398,
#Triboson,WZZ,WZZ,,/WZZ_TuneCP5_13TeV-amcatnlo-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext1-v1/NANOAODSIM,250000,0.05565,
#
# reference:
# -  https://github.com/CJLST/ZZAnalysis/blob/Run2_CutBased/AnalysisStep/test/prod/samples_2018_MC.csv
#
#diboson,WZ,WZTo3LNu,,/WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,10749269,4.67,
#
# reference:
# - AN2019_262_v10 (https://cms.cern.ch/iCMS/jsp/db_notes/noteInfo.jsp?cmsnoteid=CMS%20AN-2019/262), lists for WZTo2L2Q v2
# - AN2019_112_v6
#
#Diboson,WZ,WZTo2L2Q,,/WZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,28193648,5.606, 
#
# reference:
# - https://inspirehep.net/files/d8aeb3d6445cb1b875bdc0fb24b00a4d (2016 values above match Yiwen's)
# - AN2019_192_v15
#
#SM Htt(125),ggHTauTau,,GluGluHToTauTau,/GluGluHToTauTau_M125_13TeV_powheg_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,12575000,48.58*0.0627, # 
#SM Htt(125),vbfHTauTau,,VBFHToTauTau,/VBFHToTauTau_M125_13TeV_powheg_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext1-v1/NANOAODSIM,3000000,3.782*0.0627, # 
#SM Htt(125),WminusHTauTau,,WminusHToTauTau,,/WminusHToTauTau_M125_13TeV_powheg_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,3896200,0.5328*0.0627, # 
#SM Htt(125),WplusHTauTau,WplusHToTauTau,,/WplusHToTauTau_M125_13TeV_powheg_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,3784600,0.8400*0.0627, # 
#SM Htt(125),ZHTauTau,ZHToTauTau,/ZHToTauTau_M125_13TeV_powheg_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,4761815,0.884*0.0627, # 
# 
# reference:
# - AN2020_022_v14
#SM Htt(125),ttHTauTau,ttHToTauTau,/ttHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,21883000,0.5033*0.0627,
#SM Htt(125),ggHWW,GluGluHToWWTo2L2Nu,/GluGluHToWWTo2L2Nu_M125_13TeV_powheg2_JHUGenV714_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,1000000,1.154,
#SM Htt(125),vbfHWW,VBFHToWWTo2L2Nu,/VBFHToWWTo2L2Nu_M125_13TeV_powheg2_JHUGenV714_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,1000000,0.0897,
#DY+jets,DYJ,DYJetsToLL,/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,100194597,6077.22,












#DY+jets,DYJ,DY1JetsToLL,/DY1JetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,,,
#DY+jets,DYJ,DY2JetsToLL,/DY2JetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,,,
#DY+jets,DYJ,DY3JetsToLL,/DY3JetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,,,
#DY+jets,DYJ,DY4JetsToLL,/DY4JetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,,,
#diboson,ZZ,ZZTo4L_ext1-v1,/ZZTo4L_TuneCP5_13TeV_powheg_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext1-v1/NANOAODSIM,6689900,1.325,
#diboson,ZZ,ZZTo4L_ext2-v1,/ZZTo4L_TuneCP5_13TeV_powheg_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext2-v1/NANOAODSIM,98870000,1.325,

# reference:
# - AN2019_262_v10 (https://cms.cern.ch/iCMS/jsp/db_notes/noteInfo.jsp?cmsnoteid=CMS%20AN-2019/262)
#diboson,WZ,WZTo3LNu,/WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext1-v1/NANOAODSIM,,4.43,
#SM HZZ(125),ggHtoZZ,GluGluHToZZTo2L2Q,/GluGluHToZZTo2L2Q_M125_13TeV_powheg2_JHUGenV7011_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,984000,28.87, #
